Meas_Num,Item,Series,Time_Stamp,Date,Time_s,Measurement_ID,Image,Intensity_Cnt_s,Normalized_Intensity_Cnt_s,Number_Acqs,Number_Unmarked_Acqs,Number_Marked_Acqs,Acqs_Unmarked,Acq_Time_s,DLS_Temp_C,Attenuation_Level,Laser_Power,Set_Temp_C,Ramp_Rate_C_min,Well,Row,Col,Configuration,Radius_nm,Amplitude,Diffusion_Coefficient_cm_s,Diameter_nm,Polydispersity_nm,PD,PD_Index,Mw_R_kDa,Baseline,SOS,Viscosity_from_Sample_Rh_cP,Lambda_1_s,Sigma_1_s,D10_nm,D50_nm,D90_nm,Span_D90_D10_D50,RMS_Error,Number_Unfiltered_Peaks_I,Number_Filtered_Peaks_I,Pre_correction_Internal_Standard_Rh_I_nm,Internal_Standard_Viscosity_I_cP,Mw_S_Da,_1_Mw_S_1_Da,Particle_Concentration_1_mL,Particle_Concentration_Calculation,Particle_Material,Particle_Shape,Particle_Core_Real_RI,Particle_Core_Imaginary_RI,Sample,Concentration_mg_mL,Mw_R_Model,dn_dc_mL_g,Conformation_Model_for_SLS,A2_mol_mL_g_2,Viscosity_Calculation_Use_Internal_Standard,Internal_Standard_Rh_nm,Internal_Standard_Rh_Range_Minimum_nm,Internal_Standard_Rh_Range_Maximum_nm,Solvent,Rfr_Idx_589nm_20C,Viscosity_cP,Temp_Model,Peak_Num,Peak_Radius_nm_I,Peak_Diameter_nm_I,Peak_Diffusion_Coefficient_cm_s_I,Peak_Mw_R_kDa_I,Peak_Pd_I,Peak_Pd_nm_I,Peak_Pd_Index_I,Peak_Intensity_I,Peak_Mass_I,Peak_Number_I,Membrane_Type,Protein_Type,Protein_Conc,Lipid_Type,Lipid_Conc,Polymer_Type,Polymer_Percentage,Buffer_Type,Buffer_Conc,pH,Salt_Conc,Polymer_Mr,Latex_Nanospheres,Experiment_ID
1,"A1 ",NULL,13:59:53,04/02/2020,0,1,View,5.48E+06,3.48E+07,5,5,0,100,5.03316,24.9909,47.512,30,25,0,A1,1,1,2020-Feb-04 13:58:33,62.1134,0.177452,3.96E-08,124.227,34.0352,54.7953,0.547953,52829.1,1.00635,1.1861,--,235.864,1860.76,--,--,--,--,0.000345898,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887163,Aqueous,1,9.50865,19.0173,2.59E-07,654.307,15.464,1.47042,0.15464,2.2562,31.6398,99.4268,E. coli Membrane,NULL,NULL,NULL,1.25,NULL,NULL,TRIS,50,8,150,NULL,NULL,040220
1,"A1 ",NULL,13:59:53,04/02/2020,0,1,View,5.48E+06,3.48E+07,5,5,0,100,5.03316,24.9909,47.512,30,25,0,A1,1,1,2020-Feb-04 13:58:33,62.1134,0.177452,3.96E-08,124.227,34.0352,54.7953,0.547953,52829.1,1.00635,1.1861,--,235.864,1860.76,--,--,--,--,0.000345898,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887163,Aqueous,2,61.2313,122.463,4.02E-08,51090.4,33.5133,20.5207,0.335133,93.5528,31.7424,0.573224,E. coli Membrane,NULL,NULL,NULL,1.25,NULL,NULL,TRIS,50,8,150,NULL,NULL,040221
1,"A1 ",NULL,13:59:53,04/02/2020,0,1,View,5.48E+06,3.48E+07,5,5,0,100,5.03316,24.9909,47.512,30,25,0,A1,1,1,2020-Feb-04 13:58:33,62.1134,0.177452,3.96E-08,124.227,34.0352,54.7953,0.547953,52829.1,1.00635,1.1861,--,235.864,1860.76,--,--,--,--,0.000345898,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.887163,Aqueous,3,1552.09,3104.18,1.59E-09,9.85E+07,18.0834,280.671,0.180834,4.19097,36.6179,2.13E-05,E. coli Membrane,NULL,NULL,NULL,1.25,NULL,NULL,TRIS,50,8,150,NULL,NULL,040222
2,"A2 ",NULL,14:00:41,04/02/2020,48,2,View,5.06E+06,3.16E+07,5,5,0,100,5.03316,25.025,84,100,25,0,A2,1,2,2020-Feb-04 13:58:33,97.1404,0.0923773,2.53E-08,194.281,55.4474,57.0796,0.570796,150417,1.02445,11.5381,--,1.47E-07,1262.3,--,--,--,--,0.000523523,4,1,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886467,Aqueous,1,90.7267,181.453,2.71E-08,128200,59.996,54.4324,0.59996,100,100,100,E. coli Membrane,NULL,NULL,NULL,1.25,NULL,NULL,TRIS,50,8,150,NULL,NULL,040223
3,"A3 ",NULL,14:01:40,04/02/2020,107,3,View,6.06E+06,1.37E+07,5,5,0,100,5.03316,25.0335,55.84,100,25,0,A3,1,3,2020-Feb-04 13:58:33,71.7427,0.115962,3.43E-08,143.485,40.9505,57.0796,0.570796,74016.3,1.00649,2.11175,--,5.28E-08,1709.55,--,--,--,--,0.000230914,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886292,Aqueous,1,10.5638,21.1276,2.33E-07,836.978,13.4825,1.42426,0.134825,2.16076,25.4493,99.2523,E. coli Membrane,NULL,NULL,NULL,0.625,NULL,NULL,TRIS,50,8,150,NULL,NULL,040224
3,"A3 ",NULL,14:01:40,04/02/2020,107,3,View,6.06E+06,1.37E+07,5,5,0,100,5.03316,25.0335,55.84,100,25,0,A3,1,3,2020-Feb-04 13:58:33,71.7427,0.115962,3.43E-08,143.485,40.9505,57.0796,0.570796,74016.3,1.00649,2.11175,--,5.28E-08,1709.55,--,--,--,--,0.000230914,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886292,Aqueous,2,74.0063,148.013,3.33E-08,79596.5,39.9026,29.5305,0.399026,95.9076,54.4405,0.747697,E. coli Membrane,NULL,NULL,NULL,0.625,NULL,NULL,TRIS,50,8,150,NULL,NULL,040225
3,"A3 ",NULL,14:01:40,04/02/2020,107,3,View,6.06E+06,1.37E+07,5,5,0,100,5.03316,25.0335,55.84,100,25,0,A3,1,3,2020-Feb-04 13:58:33,71.7427,0.115962,3.43E-08,143.485,40.9505,57.0796,0.570796,74016.3,1.00649,2.11175,--,5.28E-08,1709.55,--,--,--,--,0.000230914,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.886292,Aqueous,3,1590.87,3181.74,1.55E-09,1.04E+08,22.6668,360.6,0.226668,1.93163,20.1102,1.99E-05,E. coli Membrane,NULL,NULL,NULL,0.625,NULL,NULL,TRIS,50,8,150,NULL,NULL,040226
4,"A4 ",NULL,14:02:24,04/02/2020,151,4,View,5.47E+06,2.65E+07,5,5,0,100,5.03316,25.0356,31.312,30,25,0,A4,1,4,2020-Feb-04 13:58:33,71.0062,0.13487,3.47E-08,142.012,39.383,55.4642,0.554642,72250.6,1.00995,0.623048,--,149.223,1657.55,--,--,--,--,0.000252155,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88625,Aqueous,1,23.8948,47.7896,1.03E-07,5651.11,10.8482,2.59215,0.108482,15.351,29.1529,96.1816,E. coli Membrane,NULL,NULL,NULL,0.625,NULL,NULL,TRIS,50,8,150,NULL,NULL,040227
4,"A4 ",NULL,14:02:24,04/02/2020,151,4,View,5.47E+06,2.65E+07,5,5,0,100,5.03316,25.0356,31.312,30,25,0,A4,1,4,2020-Feb-04 13:58:33,71.0062,0.13487,3.47E-08,142.012,39.383,55.4642,0.554642,72250.6,1.00995,0.623048,--,149.223,1657.55,--,--,--,--,0.000252155,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88625,Aqueous,2,73.0917,146.183,3.37E-08,77313.9,17.1886,12.5635,0.171886,83.1903,40.8165,3.81821,E. coli Membrane,NULL,NULL,NULL,0.625,NULL,NULL,TRIS,50,8,150,NULL,NULL,040228
4,"A4 ",NULL,14:02:24,04/02/2020,151,4,View,5.47E+06,2.65E+07,5,5,0,100,5.03316,25.0356,31.312,30,25,0,A4,1,4,2020-Feb-04 13:58:33,71.0062,0.13487,3.47E-08,142.012,39.383,55.4642,0.554642,72250.6,1.00995,0.623048,--,149.223,1657.55,--,--,--,--,0.000252155,5,3,--,--,--,--,--,NULL,Protein,Sphere,1.584,0,NULL,0,Globular Proteins,0.185,Sphere,0,NULL,50,25,1000,Water,1.333,0.88625,Aqueous,3,1883.96,3767.91,1.31E-09,1.55E+08,6.16614,116.167,0.0616614,1.45867,30.0305,0.00016871,E. coli Membrane,NULL,NULL,NULL,0.625,NULL,NULL,TRIS,50,8,150,NULL,NULL,040229
